id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
174,719,34,324,24,36,48.0,336.0,0.9357112050056458,0.9711141586303711,0,0,1024,1024
175,5098,162,409,57,186,176.0,496.0,0.9357095956802368,0.9638043642044067,0,0,1024,1024
176,2250,363,363,46,80,400.0,432.0,0.9355450868606567,0.9637712836265564,0,0,1024,1024
177,1390,702,312,33,79,720.0,368.0,0.9354890584945679,0.961430549621582,0,0,1024,1024
178,1123,775,392,33,41,784.0,400.0,0.9352771639823914,0.976190447807312,0,0,1024,1024
179,968,564,463,29,50,592.0,496.0,0.9348182082176208,0.9795501232147217,0,0,1024,1024
180,1924,697,585,44,79,720.0,624.0,0.9342580437660217,0.953346848487854,0,0,1024,1024
181,596,298,338,22,52,304.0,368.0,0.9339305758476257,0.9816360473632812,0,0,1024,1024
182,1485,496,372,77,186,560.0,400.0,0.9332276582717896,0.9603436589241028,0,0,1024,1024
183,2804,283,464,71,87,304.0,496.0,0.9329317808151245,0.976039469242096,0,0,1024,1024
184,1281,706,912,22,94,720.0,944.0,0.9326885342597961,0.970678985118866,0,0,1024,1024
185,4553,888,399,54,192,912.0,464.0,0.9321572780609131,0.9577950239181519,0,0,1024,1024
186,4632,932,417,48,183,944.0,560.0,0.9318073987960815,0.9630808234214783,0,0,1024,1024
187,759,711,313,25,42,720.0,336.0,0.9311205744743347,0.9843137264251709,0,0,1024,1024
188,985,70,364,27,48,80.0,400.0,0.9308843612670898,0.9808660745620728,0,0,1024,1024
189,697,981,393,38,44,1008.0,400.0,0.93036949634552,0.9607293009757996,0,0,1024,1024
190,1977,245,570,56,60,272.0,592.0,0.9301273822784424,0.9569733142852783,0,0,1024,1024
191,460,507,315,24,24,528.0,336.0,0.9301150441169739,0.9637526869773865,0,0,1024,1024
192,823,531,572,51,43,560.0,592.0,0.9297696948051453,0.9642857313156128,0,0,1024,1024
193,13002,794,821,229,202,1008.0,976.0,0.9296241998672485,0.9767671227455139,0,0,1024,1024
194,870,196,415,25,47,208.0,432.0,0.929455041885376,0.9716874361038208,0,0,1024,1024
195,226,549,195,10,22,560.0,208.0,0.9283767938613892,0.97826087474823,0,0,1024,1024
196,305,645,363,17,20,656.0,368.0,0.9282762408256531,0.9805825352668762,0,0,1024,1024
197,521,964,349,22,28,976.0,368.0,0.9281756281852722,0.9716981053352356,0,0,1024,1024
198,1057,838,348,45,36,880.0,368.0,0.9279575347900391,0.960148274898529,0,0,1024,1024
